SampleID;Temp;COD_in;COD_eff;COD_removal;TAN_in;TAN_eff;TAN_removal;HRT;;;
OD102OT102.46;25.70;NA;NA;NA;NA;NA;NA;1;;;
OD102OT102.75;26.10;NA;NA;NA;NA;NA;NA;1;;;
OD103OT103.35;26.70;NA;NA;NA;NA;NA;NA;1;;;
OD103OT103.38;26.70;NA;NA;NA;NA;NA;NA;1;;;
OD103OT103.67;26.90;NA;NA;NA;NA;NA;NA;1;;;
OD104OT104.39;27.50;NA;NA;NA;NA;NA;NA;1;;;
OD104OT104.4;27.50;NA;NA;NA;NA;NA;NA;1;;;
OD104OT104.67;27.50;NA;NA;NA;NA;NA;NA;1;;;
OD105OT105.38;27.80;2225.00;94.00;0.96;121.11;53.21;0.56;1;;;
OD105OT105.4;27.80;NA;NA;NA;NA;NA;NA;1;;;
OD105OT105.67;27.80;NA;NA;NA;NA;NA;NA;1;;;
OD106OT106.38;25.60;NA;NA;NA;NA;NA;NA;1;;;
OD106OT106.5;25.60;NA;NA;NA;NA;NA;NA;1;;;
OD106OT106.67;25.90;NA;NA;NA;NA;NA;NA;1;;;
OD107OT107.42;NA;NA;NA;NA;NA;NA;NA;1;;;
OD107OT107.42;NA;NA;NA;NA;NA;NA;NA;1;;;
OD107OT108;NA;NA;NA;NA;NA;NA;NA;2;;;
OD107OT108;NA;NA;NA;NA;NA;NA;NA;2;;;
OD109OT109.35;24.90;NA;199.00;NA;NA;0.73;NA;2;;;
OD109OT109.52;24.80;NA;NA;NA;NA;NA;NA;1;;;
OD109OT109.67;25.00;NA;NA;NA;NA;NA;NA;1;;;
OD109OT109.88;25.00;NA;NA;NA;NA;NA;NA;1;;;
OD109OT109.88;25.00;NA;NA;NA;NA;NA;NA;1;;;
OD110OT110.36;25.70;NA;NA;NA;NA;NA;NA;1;;;
OD110OT110.67;25.70;NA;NA;NA;NA;NA;NA;1;;;
OD111OT111.35;26.10;2045.00;170.00;0.92;88.85;1.07;0.99;1;;;
OD111OT111.4;26.10;NA;NA;NA;NA;NA;NA;1;;;
OD111OT111.65;26.10;NA;NA;NA;NA;NA;NA;1;;;
OD112OT112.36;26.10;NA;NA;NA;NA;NA;NA;1;;;
OD112OT112.65;26.40;NA;NA;NA;NA;NA;NA;1;;;
OD112OT112.67;26.60;NA;NA;NA;NA;NA;NA;1;;;
OD113OT113.36;26.60;NA;NA;NA;NA;NA;NA;1;;;
OD113OT113.67;26.10;NA;NA;NA;NA;NA;NA;1;;;
OD113OT113.68;26.10;NA;NA;NA;NA;NA;NA;1;;;
OD114OT114.77;26.00;NA;NA;NA;NA;NA;NA;1;;;
OD114OT114.78;26.00;NA;NA;NA;NA;NA;NA;1;;;
OD116OT116.35;25.60;1680.00;204.50;0.88;180.18;0.29;1.00;1;;;
OD116OT116.46;25.50;NA;NA;NA;NA;NA;NA;1;;;
OD116OT116.71;25.60;NA;NA;NA;NA;NA;NA;1;;;
OD117OT117.36;26.60;NA;NA;NA;NA;NA;NA;1;;;
OD117OT117.69;27.10;NA;NA;NA;NA;NA;NA;1;;;
OD117OT117.71;27.10;NA;NA;NA;NA;NA;NA;1;;;
OD118OT118.35;27.00;NA;NA;NA;NA;NA;NA;1;;;
OD118OT118.42;NA;NA;NA;NA;NA;NA;NA;1;;;
OD118OT118.63;27.10;NA;NA;NA;NA;NA;NA;2;;;
OD118OT118.79;27.00;NA;NA;NA;NA;NA;NA;2;;;
OD119OT119.46;26.40;NA;NA;NA;NA;NA;NA;2;;;
OD119OT119.52;26.30;NA;NA;NA;NA;NA;NA;2;;;
OD119OT119.65;26.20;NA;NA;NA;NA;NA;NA;2;;;
OD120OT120.35;26.20;NA;NA;NA;NA;NA;NA;2;;;
OD120OT120.68;26.30;NA;NA;NA;NA;NA;NA;2;;;
OD121OT121.38;26.30;1550.00;127.00;0.92;93.81;6.59;0.93;2;;;
OD121OT121.38;26.30;NA;NA;NA;NA;NA;NA;2;;;
OD123OT123.38;25.90;NA;NA;NA;NA;NA;NA;2;;;
OD123OT123.67;26.10;NA;NA;NA;NA;NA;NA;2;;;
OD124OT124.35;26.10;NA;NA;NA;NA;NA;NA;2;;;
OD124OT124.71;26.30;NA;NA;NA;NA;NA;NA;2;;;
OD125OT125.38;26.40;NA;NA;NA;153.54;0.33;1.00;2;;;
OD125OT125.67;26.70;NA;NA;NA;NA;NA;NA;2;;;
OD126OT126.29;27.00;NA;NA;NA;NA;NA;NA;2;;;
OD126OT126.67;26.70;NA;NA;NA;NA;NA;NA;2;;;
OD127OT127.36;26.40;NA;NA;NA;NA;NA;NA;2;;;
OD127OT127.4;26.40;NA;NA;NA;NA;NA;NA;2;;;
OD127OT127.71;25.90;NA;NA;NA;NA;NA;NA;2;;;
OD128OT128.75;25.90;1610.00;151.00;0.91;81.57;0.21;1.00;2;;;
